file,algo,n,seed_idx,fidelity,noise_impact,transpile_s,sim_s,error
bv_indep_none_10_s0.qasm,bv,10,0,0.6943359375,0.3056640625,0.077,1.095,
bv_indep_none_11_s0.qasm,bv,11,0,0.6982421875000001,0.3017578124999999,0.073,1.319,
bv_indep_none_12_s0.qasm,bv,12,0,0.60546875,0.39453125,0.068,1.914,
bv_indep_none_3_s0.qasm,bv,3,0,0.9531249999999999,0.04687500000000011,0.073,0.83,
bv_indep_none_4_s0.qasm,bv,4,0,0.927734375,0.072265625,0.069,0.857,
bv_indep_none_5_s0.qasm,bv,5,0,0.9062500000000001,0.09374999999999989,0.079,0.78,
bv_indep_none_6_s0.qasm,bv,6,0,0.728515625,0.271484375,0.071,0.868,
bv_indep_none_7_s0.qasm,bv,7,0,0.7236328125,0.2763671875,0.071,0.872,
bv_indep_none_8_s0.qasm,bv,8,0,0.7324218750000001,0.2675781249999999,0.076,0.866,
bv_indep_none_9_s0.qasm,bv,9,0,0.6796875,0.3203125,0.074,0.906,
dj_indep_none_10_s0.qasm,dj,10,0,0.6660156250000001,0.3339843749999999,0.077,1.17,
dj_indep_none_11_s0.qasm,dj,11,0,0.6552734375,0.3447265625,0.074,1.625,
dj_indep_none_12_s0.qasm,dj,12,0,0.66796875,0.33203125,0.076,2.416,
dj_indep_none_3_s0.qasm,dj,3,0,0.9365234375,0.0634765625,0.073,0.938,
dj_indep_none_4_s0.qasm,dj,4,0,0.9248046875,0.0751953125,0.076,0.942,
dj_indep_none_5_s0.qasm,dj,5,0,0.8935546875,0.1064453125,0.073,0.917,
dj_indep_none_6_s0.qasm,dj,6,0,0.8720703125,0.1279296875,0.204,0.93,
dj_indep_none_7_s0.qasm,dj,7,0,0.7207031250000001,0.2792968749999999,0.076,0.817,
dj_indep_none_8_s0.qasm,dj,8,0,0.69921875,0.30078125,0.077,0.984,
dj_indep_none_9_s0.qasm,dj,9,0,0.7021484375,0.2978515625,0.076,0.926,
full_adder_indep_none_10_s0.qasm,full_adder,10,0,0.619140625,0.380859375,0.083,1.862,
full_adder_indep_none_12_s0.qasm,full_adder,12,0,0.46484374999999994,0.53515625,0.082,5.379,
full_adder_indep_none_4_s0.qasm,full_adder,4,0,0.9091796875,0.0908203125,0.081,0.858,
full_adder_indep_none_6_s0.qasm,full_adder,6,0,0.71875,0.28125,0.081,0.992,
full_adder_indep_none_8_s0.qasm,full_adder,8,0,0.640625,0.359375,0.092,1.065,
ghz_indep_none_10_s0.qasm,ghz,10,0,0.6226071915761784,0.3773928084238216,0.08,1.321,
ghz_indep_none_11_s0.qasm,ghz,11,0,0.6171418714801061,0.38285812851989387,0.079,1.589,
ghz_indep_none_12_s0.qasm,ghz,12,0,0.5512461914278713,0.44875380857212865,0.083,2.528,
ghz_indep_none_3_s0.qasm,ghz,3,0,0.9136405665961584,0.08635943340384156,0.083,0.981,
ghz_indep_none_4_s0.qasm,ghz,4,0,0.8826491486712871,0.11735085132871292,0.08,1.002,
