algo,n,depth,size,num_2q,transpile_s,sim_s,total_s,fidelity,timeout,error
ghz,10,11,20,9,0.048,1.063,1.111,0.6226,False,
qft,10,20,65,45,0.072,2.24,2.312,0.3401,False,
bv,10,7,22,4,0.067,0.976,1.043,0.6943,False,
dj,10,4,29,0,0.066,1.153,1.219,0.666,False,
qaoa,10,26,82,52,0.07,2.336,2.405,0.4435,False,
qnn,10,12,39,9,0.067,1.317,1.384,0.6173,False,
randomcircuit,10,21,86,7,0.122,4.97,5.092,0.5903,False,
vqe_su2,10,18,77,27,0.071,1.571,1.642,0.4929,False,
grover,10,19,37,0,0.835,120.932,121.768,0.0,False,
qwalk,10,4382,5805,2442,0.294,48.784,49.078,0.0071,False,
qpeexact,10,24,69,43,0.063,1.975,2.038,0.6113,False,
qpeinexact,10,28,73,45,0.083,1.955,2.038,0.6621,False,
ghz,12,13,24,11,0.079,1.789,1.868,0.5512,False,
qft,12,24,90,66,0.083,7.499,7.583,0.0397,False,
bv,12,8,27,5,0.082,1.618,1.7,0.6055,False,
dj,12,4,35,0,0.072,2.239,2.311,0.668,False,
qaoa,12,31,108,72,0.081,7.933,8.014,0.1346,False,
qnn,12,14,47,11,0.069,2.413,2.482,0.4516,False,
randomcircuit,12,25,118,18,0.116,21.706,21.822,0.1745,False,
vqe_su2,12,20,93,33,0.064,4.04,4.104,0.1422,False,
grover,12,37,59,0,,,300.0,,True,TIMEOUT@noisy_sim
qwalk,12,7257,9794,4086,,,300.0,,True,TIMEOUT@noisy_sim
qpeexact,12,32,97,65,0.069,8.309,8.378,0.5596,False,
qpeinexact,12,34,100,66,0.099,8.818,8.917,0.5922,False,
ghz,14,15,28,13,0.084,6.54,6.624,0.489,False,
qft,14,28,119,91,0.095,40.126,40.221,0.0034,False,
bv,14,9,32,6,0.063,4.423,4.486,0.5068,False,
dj,14,4,41,0,0.077,6.381,6.458,0.5596,False,
qaoa,14,37,150,108,0.086,46.132,46.218,0.0125,False,
qnn,14,16,55,13,0.064,8.57,8.634,0.1372,False,
randomcircuit,14,29,162,19,0.125,134.93,135.055,0.104,False,
vqe_su2,14,22,109,39,0.055,18.165,18.221,0.0322,False,
