file,algo,level,target,n,seed_idx,num_qubits,depth,size,num_2q_gates,program_communication,critical_depth,entanglement_ratio,parallelism,liveness,fiedler_topology,spectral_entropy_topology,laplacian_max_eig_topology,spectral_gap_ratio_topology,effective_resistance,log_spanning_trees,laplacian_energy,von_neumann_entropy,fiedler_2q_weighted,spectral_entropy_2q_weighted,gini_2q_multiplicity,edge_weight_mean_2q,edge_weight_max_2q,log_estrada_index,graph_density,graph_diameter,avg_clustering,n_components,max_degree,degree_variance,assortativity,num_triangles,twoq_temporal_locality,gate_entropy,num_unique_gates,depth_per_qubit,fiedler_at_half_depth,time_to_connected,has_2q_interactions
bv_indep_none_10_s0.qasm,bv,indep,none,10,0,10.0,7.0,13.0,4.0,0.08888888888888889,1.0,0.3076923076923077,0.09523809523809525,0.37142857142857144,0.0,1.0735428464085233,5.0,0.0,3.2,-0.6931471805599456,21.6,1.0373491181781864,0.0,1.0735428464085233,0.0,1.0,1.0,2.8048375549334685,0.08888888888888889,2.0,0.0,6.0,4.0,1.36,-1.0,0.0,0.0,0.8587409130062869,3.0,0.7,0.0,1.0,1.0
bv_indep_none_11_s0.qasm,bv,indep,none,11,0,11.0,8.0,16.0,5.0,0.09090909090909091,1.0,0.3125,0.1,0.3522727272727273,0.0,1.2275294114572128,6.0,0.0,4.166666666666667,-0.6061358035703157,30.909090909090907,1.202581446601398,0.0,1.2275294114572128,0.0,1.0,1.0,2.9685330528355967,0.09090909090909091,2.0,0.0,6.0,5.0,1.900826446280992,-1.0,0.0,0.0,0.8305236914828463,3.0,0.7272727272727273,0.0,1.0,1.0
bv_indep_none_12_s0.qasm,bv,indep,none,12,0,12.0,8.0,16.0,5.0,0.07575757575757576,1.0,0.3125,0.09090909090909091,0.3333333333333333,0.0,1.2275294114572126,6.0,0.0,4.166666666666667,-0.6931471805599456,31.666666666666668,1.1748758068759726,0.0,1.2275294114572126,0.0,1.0,1.0,3.018635331810732,0.07575757575757576,2.0,0.0,7.0,5.0,1.8055555555555554,-1.0,0.0,0.0,0.8305236914828463,3.0,0.6666666666666666,0.0,1.0,1.0
bv_indep_none_3_s0.qasm,bv,indep,none,3,0,3.0,4.0,4.0,1.0,0.3333333333333333,1.0,0.25,0.0,0.5833333333333334,0.0,-0.0,2.0,0.0,0.5,-0.4054651081081645,2.666666666666667,0.2703100720721096,0.0,-0.0,0.0,1.0,1.0,1.6265233750364456,0.3333333333333333,1.0,0.0,2.0,1.0,0.22222222222222224,0.0,0.0,0.0,1.0397207708399179,3.0,1.3333333333333333,0.0,1.0,1.0
bv_indep_none_4_s0.qasm,bv,indep,none,4,0,4.0,4.0,4.0,1.0,0.16666666666666666,1.0,0.25,0.0,0.5,0.0,-0.0,2.0,0.0,0.5,-0.6931471805599453,3.0,0.34657359027997264,0.0,-0.0,0.0,1.0,1.0,1.8060175495841824,0.16666666666666666,1.0,0.0,3.0,1.0,0.25,0.0,0.0,0.0,1.0397207708399179,3.0,1.0,0.0,1.0,1.0
bv_indep_none_5_s0.qasm,bv,indep,none,5,0,5.0,5.0,7.0,2.0,0.2,1.0,0.2857142857142857,0.09999999999999998,0.52,0.0,0.5623351446188083,3.0,0.0,1.3333333333333333,-0.5108256237659905,6.800000000000001,0.6283829567464145,0.0,0.5623351446188083,0.0,1.0,1.0,2.1230237768145908,0.2,2.0,0.0,3.0,2.0,0.56,-1.0,0.0,0.0,0.9556998911125343,3.0,1.0,0.0,1.0,1.0
bv_indep_none_6_s0.qasm,bv,indep,none,6,0,6.0,5.0,7.0,2.0,0.13333333333333333,1.0,0.2857142857142857,0.07999999999999999,0.4666666666666667,0.0,0.5623351446188083,3.0,0.0,1.3333333333333335,-0.6931471805599454,7.333333333333334,0.6452001684846485,0.0,0.5623351446188083,0.0,1.0,1.0,2.23605708621818,0.13333333333333333,2.0,0.0,4.0,2.0,0.5555555555555555,-1.0,0.0,0.0,0.9556998911125343,3.0,0.8333333333333334,0.0,1.0,1.0
bv_indep_none_7_s0.qasm,bv,indep,none,7,0,7.0,6.0,10.0,3.0,0.14285714285714285,1.0,0.3,0.11111111111111112,0.4523809523809524,0.0,0.8675632284814614,3.9999999999999996,0.0,2.2499999999999996,-0.5596157879354222,12.857142857142854,0.8757547785503312,0.0,0.8675632284814614,0.0,1.0,1.0,2.4705672367530425,0.14285714285714285,2.0,0.0,4.0,3.0,0.9795918367346937,-1.0,0.0,0.0,0.8979457248567798,3.0,0.8571428571428571,0.0,1.0,1.0
bv_indep_none_8_s0.qasm,bv,indep,none,8,0,8.0,6.0,10.0,3.0,0.10714285714285714,1.0,0.3,0.09523809523809525,0.4166666666666667,0.0,0.8675632284814614,3.9999999999999996,0.0,2.2499999999999996,-0.6931471805599447,13.499999999999996,0.8664339756999317,0.0,0.8675632284814614,0.0,1.0,1.0,2.551720305869663,0.10714285714285714,2.0,0.0,5.0,3.0,0.9375,-1.0,0.0,0.0,0.8979457248567798,3.0,0.75,0.0,1.0,1.0
bv_indep_none_9_s0.qasm,bv,indep,none,9,0,9.0,7.0,13.0,4.0,0.1111111111111111,1.0,0.3076923076923077,0.10714285714285715,0.3968253968253968,0.0,1.0735428464085233,5.0,0.0,3.2,-0.5877866649021193,20.888888888888886,1.0589563396132502,0.0,1.0735428464085233,0.0,1.0,1.0,2.7424124246142156,0.1111111111111111,2.0,0.0,5.0,4.0,1.4320987654320987,-1.0,0.0,0.0,0.8587409130062869,3.0,0.7777777777777778,0.0,1.0,1.0
dj_indep_none_10_s0.qasm,dj,indep,none,10,0,10.0,4.0,20.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.95,9.999999999999993,2.1972245773362196,10.00000000000001,0.9999999999999982,0.8999999999999999,18.420680743952367,90.0,-6.66133814775095e-16,0.0,0.0,0.0,0.0,0.0,9.00053186770524,1.0,1.0,1.0,1.0,9.0,0.0,0.0,120.0,0.0,0.39439769144744274,3.0,0.4,9.999999999999993,0.5,0.0
dj_indep_none_11_s0.qasm,dj,indep,none,11,0,11.0,4.0,22.0,0.0,0.0,0.0,0.0,0.45,0.9545454545454546,10.999999999999995,2.3025850929940455,11.000000000000002,0.9999999999999993,0.9090909090909092,21.581057455185338,109.99999999999999,2.220446049250312e-16,0.0,0.0,0.0,0.0,0.0,10.000212394380382,1.0,1.0,1.0,1.0,10.0,0.0,0.0,165.0,0.0,0.36764947740014225,3.0,0.36363636363636365,10.999999999999995,0.5,0.0
dj_indep_none_12_s0.qasm,dj,indep,none,12,0,12.0,4.0,24.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.9583333333333334,11.999999999999991,2.3978952727983707,12.000000000000004,0.999999999999999,0.9166666666666665,24.849066497880003,131.99999999999991,1.3322676295501875e-15,0.0,0.0,0.0,0.0,0.0,11.000084284484638,1.0,1.0,1.0,1.0,11.0,0.0,0.0,220.0,0.0,0.3445982481028228,3.0,0.3333333333333333,11.999999999999991,0.5,0.0
dj_indep_none_3_s0.qasm,dj,indep,none,3,0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.25,0.8333333333333334,3.0,0.6931471805599453,3.0,1.0,0.6666666666666666,1.0986122886681098,6.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.2109976232381756,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.8675632284814612,3.0,1.3333333333333333,3.0,0.5,0.0
dj_indep_none_4_s0.qasm,dj,indep,none,4,0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.875,3.9999999999999964,1.0986122886681096,4.0,0.9999999999999991,0.7500000000000002,2.77258872223978,11.999999999999993,8.881784197001248e-16,0.0,0.0,0.0,0.0,0.0,3.099604568462055,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.7356219397587946,3.0,1.0,3.9999999999999964,0.5,0.0
dj_indep_none_5_s0.qasm,dj,indep,none,5,0,5.0,4.0,10.0,0.0,0.0,0.0,0.0,0.375,0.9,4.9999999999999964,1.3862943611198906,5.000000000000001,0.9999999999999991,0.8000000000000002,4.828313737302301,19.999999999999993,6.661338147750935e-16,0.0,0.0,0.0,0.0,0.0,4.044272763571976,1.0,1.0,1.0,1.0,4.0,0.0,0.0,10.0,0.0,0.639031859650177,3.0,0.8,4.9999999999999964,0.5,0.0
dj_indep_none_6_s0.qasm,dj,indep,none,6,0,6.0,4.0,12.0,0.0,0.0,0.0,0.0,0.4,0.9166666666666666,6.0,1.6094379124341005,6.0,1.0,0.8333333333333333,7.16703787691222,29.999999999999993,-0.0,0.0,0.0,0.0,0.0,0.0,5.018950997980912,1.0,1.0,1.0,1.0,5.0,0.0,0.0,20.0,0.0,0.5660857389596289,3.0,0.6666666666666666,6.0,0.5,0.0
dj_indep_none_7_s0.qasm,dj,indep,none,7,0,7.0,4.0,14.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.9285714285714286,6.999999999999996,1.791759469228055,7.000000000000001,0.9999999999999992,0.8571428571428572,9.729550745276565,41.999999999999986,7.771561172376092e-16,0.0,0.0,0.0,0.0,0.0,6.007918608867486,1.0,1.0,1.0,1.0,6.0,0.0,0.0,35.0,0.0,0.509137344082687,3.0,0.5714285714285714,6.999999999999996,0.5,0.0
dj_indep_none_8_s0.qasm,dj,indep,none,8,0,8.0,4.0,16.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.9375,7.999999999999994,1.9459101490553135,8.000000000000004,0.9999999999999988,0.8750000000000002,12.476649250079015,55.99999999999997,1.3322676295501875e-15,0.0,0.0,0.0,0.0,0.0,7.003254817690259,1.0,1.0,1.0,1.0,7.0,0.0,0.0,56.0,0.0,0.46341355882643,3.0,0.5,7.999999999999994,0.5,0.0
dj_indep_none_9_s0.qasm,dj,indep,none,9,0,9.0,4.0,18.0,0.0,0.0,0.0,0.0,0.4375,0.9444444444444444,8.999999999999996,2.0794415416798353,9.0,0.9999999999999996,0.8888888888888888,15.380572041353533,72.0,4.440892098500625e-16,0.0,0.0,0.0,0.0,0.0,8.001321867009315,1.0,1.0,1.0,1.0,8.0,0.0,0.0,84.0,0.0,0.42584844923858145,3.0,0.4444444444444444,8.999999999999996,0.5,0.0
full_adder_indep_none_10_s0.qasm,full_adder,indep,none,10,0,10.0,10.0,9.0,1.0,0.022222222222222223,1.0,0.1111111111111111,0.0,0.36,0.27339849153267737,1.9777963271691146,5.678670366851214,0.04814480747616895,7.300000000000012,4.394449154672433,36.39999999999997,2.6579406935683636,0.0,-0.0,0.0,1.0,1.0,3.6216114699968136,0.28888888888888886,5.0,0.6333333333333333,1.0,4.0,1.04,-0.30769230769230815,4.0,0.0,0.9649629230074277,3.0,1.0,0.27339849153267737,0.5,1.0
full_adder_indep_none_12_s0.qasm,full_adder,indep,none,12,0,12.0,12.0,11.0,1.0,0.015151515151515152,1.0,0.09090909090909091,0.0,0.3055555555555556,0.19509905612458808,2.1698341761122175,5.77833633173467,0.033763880280402246,10.083333333333341,5.493061443340547,44.66666666666667,3.1706797949346432,0.0,-0.0,0.0,1.0,1.0,3.828070061483224,0.24242424242424243,6.0,0.638888888888889,1.0,4.0,1.0555555555555556,-0.3176470588235294,5.0,0.0,0.9347698978582792,3.0,1.0,0.19509905612458808,0.5,1.0
full_adder_indep_none_4_s0.qasm,full_adder,indep,none,4,0,4.0,4.0,3.0,1.0,0.16666666666666666,1.0,0.3333333333333333,0.0,0.8125,3.9999999999999964,1.0986122886681096,4.0,0.9999999999999991,0.7500000000000002,2.77258872223978,11.999999999999993,8.881784197001248e-16,0.0,-0.0,0.0,1.0,1.0,3.099604568462055,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0986122886681096,3.0,1.0,3.9999999999999964,0.25,1.0
full_adder_indep_none_6_s0.qasm,full_adder,indep,none,6,0,6.0,6.0,5.0,1.0,0.06666666666666667,1.0,0.2,0.0,0.5555555555555556,0.6313506281127599,1.4283956162619302,5.107096376725475,0.12362222710149126,3.0555555555555602,2.1972245773362156,19.33333333333332,1.355894763707696,0.0,-0.0,0.0,1.0,1.0,3.0080097538254145,0.4666666666666667,3.0,0.611111111111111,1.0,4.0,0.8888888888888888,-0.40000000000000097,2.0,0.0,1.0549201679861442,3.0,1.0,0.6313506281127599,0.5,1.0
full_adder_indep_none_8_s0.qasm,full_adder,indep,none,8,0,8.0,8.0,7.0,1.0,0.03571428571428571,1.0,0.14285714285714285,0.0,0.4375,0.40445884518357683,1.7401435295286012,5.495421009086566,0.0735992464480542,4.9583333333333375,3.295836866004328,27.999999999999996,2.0596319941361148,0.0,-0.0,0.0,1.0,1.0,3.3611340926231765,0.35714285714285715,4.0,0.625,1.0,4.0,1.0,-0.31313131313131504,3.0,0.0,1.0042424730540764,3.0,1.0,0.40445884518357683,0.5,1.0
ghz_indep_none_10_s0.qasm,ghz,indep,none,10,0,10.0,11.0,10.0,9.0,0.2,1.0,0.9,0.0,0.2636363636363636,0.09788696740969288,1.9329587270371456,3.9021130325903073,0.025085630936916604,16.499999999999996,8.881784197001252e-16,19.6,2.421309711843047,0.09788696740969288,1.9329587270371456,0.0,1.0,1.0,3.1051803423299846,0.2,9.0,0.0,1.0,2.0,0.16,-0.12499999999999775,0.0,0.0,0.3250829733914482,2.0,1.1,0.0,0.9090909090909091,1.0
