file,algo,level,target,n,seed_idx,transpile_s,num_qubits,depth,size,num_2q_gates,program_communication,critical_depth,entanglement_ratio,parallelism,liveness,fiedler_topology,spectral_entropy_topology,laplacian_max_eig_topology,spectral_gap_ratio_topology,effective_resistance,log_spanning_trees,laplacian_energy,von_neumann_entropy,fiedler_2q_weighted,spectral_entropy_2q_weighted,gini_2q_multiplicity,edge_weight_mean_2q,edge_weight_max_2q,log_estrada_index,graph_density,graph_diameter,avg_clustering,n_components,max_degree,degree_variance,assortativity,num_triangles,twoq_temporal_locality,gate_entropy,num_unique_gates,depth_per_qubit,fiedler_at_half_depth,time_to_connected,has_2q_interactions
bv_indep_none_10_s0.qasm,bv,indep,none,10,0,0.054,5.0,28.0,59.0,7.0,0.4,1.0,0.11864406779661017,0.2767857142857143,0.4714285714285714,0.5188056959079843,1.135661100788891,4.170086486626033,0.12441125563507048,3.6000000000000005,-2.220446049250313e-16,11.2,1.0650519544690489,0.8414090555718723,0.9161309315744033,0.3214285714285714,1.75,4.0,2.4085761750980286,0.4,3.0,0.0,1.0,3.0,0.64,-0.6666666666666666,0.0,6.0,0.9427838646524414,3.0,5.6,0.0,0.8928571428571429,1.0
bv_indep_none_11_s0.qasm,bv,indep,none,11,0,0.021,6.0,45.0,80.0,11.0,0.3333333333333333,1.0,0.1375,0.15555555555555553,0.337037037037037,0.381966011250105,1.3460094733920611,4.302775637731996,0.08877200286730272,5.166666666666669,-2.220446049250313e-16,13.333333333333341,1.391973082710117,0.7639320225002104,1.1178753394473986,0.3272727272727273,2.2,4.0,2.5957997780338693,0.3333333333333333,4.0,0.0,1.0,3.0,0.5555555555555556,-0.3333333333333341,0.0,5.333333333333333,1.052228469415433,4.0,7.5,0.0,0.8888888888888888,1.0
bv_indep_none_12_s0.qasm,bv,indep,none,12,0,0.018,6.0,49.0,86.0,11.0,0.3333333333333333,1.0,0.12790697674418605,0.15102040816326529,0.3299319727891156,0.381966011250105,1.3460094733920611,4.302775637731996,0.08877200286730272,5.166666666666669,-2.220446049250313e-16,13.333333333333341,1.391973082710117,0.7639320225002104,1.1178753394473986,0.3272727272727273,2.2,4.0,2.5957997780338693,0.3333333333333333,4.0,0.0,1.0,3.0,0.5555555555555556,-0.3333333333333341,0.0,6.5,1.0087498466805809,4.0,8.166666666666666,0.0,0.9387755102040817,1.0
bv_indep_none_3_s0.qasm,bv,indep,none,3,0,0.01,2.0,7.0,13.0,1.0,1.0,1.0,0.07692307692307693,0.8571428571428572,1.0,2.0,-0.0,2.0,1.0,0.5,0.0,2.0,-0.0,2.0,-0.0,0.0,1.0,1.0,1.4076059644443804,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8587409130062867,3.0,3.5,0.0,0.5714285714285714,1.0
bv_indep_none_4_s0.qasm,bv,indep,none,4,0,0.011,2.0,7.0,13.0,1.0,1.0,1.0,0.07692307692307693,0.8571428571428572,1.0,2.0,-0.0,2.0,1.0,0.5,0.0,2.0,-0.0,2.0,-0.0,0.0,1.0,1.0,1.4076059644443804,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8587409130062867,3.0,3.5,0.0,0.5714285714285714,1.0
bv_indep_none_5_s0.qasm,bv,indep,none,5,0,0.013,3.0,13.0,23.0,2.0,0.6666666666666666,1.0,0.08695652173913043,0.3846153846153846,0.6410256410256411,0.9999999999999997,0.5623351446188083,3.0,0.3333333333333332,1.3333333333333337,-4.440892098500626e-16,4.666666666666667,0.36620409622270317,0.9999999999999997,0.5623351446188083,0.0,1.0,1.0,1.8494570055365827,0.6666666666666666,2.0,0.0,1.0,2.0,0.2222222222222222,-1.0,0.0,0.0,0.9021825489048646,3.0,4.333333333333333,0.0,0.7692307692307693,1.0
bv_indep_none_6_s0.qasm,bv,indep,none,6,0,0.013,3.0,13.0,23.0,2.0,0.6666666666666666,1.0,0.08695652173913043,0.3846153846153846,0.6410256410256411,0.9999999999999997,0.5623351446188083,3.0,0.3333333333333332,1.3333333333333337,-4.440892098500626e-16,4.666666666666667,0.36620409622270317,0.9999999999999997,0.5623351446188083,0.0,1.0,1.0,1.8494570055365827,0.6666666666666666,2.0,0.0,1.0,2.0,0.2222222222222222,-1.0,0.0,0.0,0.9021825489048646,3.0,4.333333333333333,0.0,0.7692307692307693,1.0
bv_indep_none_7_s0.qasm,bv,indep,none,7,0,0.017,4.0,17.0,32.0,3.0,0.5,1.0,0.09375,0.29411764705882354,0.5147058823529411,1.0,0.8675632284814614,3.999999999999999,0.25000000000000006,2.2499999999999996,2.220446049250313e-16,8.999999999999995,0.6931471805599456,1.0,0.8675632284814614,0.0,1.0,1.0,2.178059299995943,0.5,2.0,0.0,1.0,3.0,0.75,-1.0,0.0,0.0,0.9126303868960588,3.0,4.25,0.0,0.8235294117647058,1.0
bv_indep_none_8_s0.qasm,bv,indep,none,8,0,0.011,4.0,17.0,32.0,3.0,0.5,1.0,0.09375,0.29411764705882354,0.5147058823529411,1.0,0.8675632284814614,3.999999999999999,0.25000000000000006,2.2499999999999996,2.220446049250313e-16,8.999999999999995,0.6931471805599456,1.0,0.8675632284814614,0.0,1.0,1.0,2.178059299995943,0.5,2.0,0.0,1.0,3.0,0.75,-1.0,0.0,0.0,0.9126303868960588,3.0,4.25,0.0,0.8235294117647058,1.0
bv_indep_none_9_s0.qasm,bv,indep,none,9,0,0.022,5.0,22.0,60.0,7.0,0.4,0.7142857142857143,0.11666666666666667,0.43181818181818177,0.6090909090909091,0.5188056959079843,1.135661100788891,4.170086486626033,0.12441125563507048,3.6000000000000005,-2.220446049250313e-16,11.2,1.0650519544690489,0.9087620536352575,1.0487572365957178,0.25,1.75,3.0,2.4085761750980286,0.4,3.0,0.0,1.0,3.0,0.64,-0.6666666666666666,0.0,7.666666666666667,1.0019392201809734,4.0,4.4,5.022205648990508e-17,0.5454545454545454,1.0
