file,algo,n,seed_idx,fidelity,noise_impact,fidelity_se,js,tv,kl,chi_square_p,at_floor,pool_factor,transpile_s,sim_s,error,at_floor_chi_only
bv_indep_none_10_s0.qasm,bv,10,0,0.6943359375,0.3056640625,0.0,0.1198,0.30566,0.3648,0.0,False,5.0,0.118,1.417,,False
bv_indep_none_11_s0.qasm,bv,11,0,0.6982421875000001,0.3017578124999999,0.0,0.11806,0.30176,0.35919,0.0,False,10.0,0.079,1.601,,False
bv_indep_none_12_s0.qasm,bv,12,0,0.60546875,0.39453125,0.0,0.16122,0.39453,0.50175,0.0,False,20.0,0.081,1.862,,False
bv_indep_none_3_s0.qasm,bv,3,0,0.953125,0.0468750000000001,0.0,0.01653,0.04688,0.04801,0.0,False,1.0,0.063,0.954,,False
bv_indep_none_4_s0.qasm,bv,4,0,0.927734375,0.072265625,0.0,0.02572,0.07227,0.07501,0.0,False,1.0,0.077,0.981,,False
bv_indep_none_5_s0.qasm,bv,5,0,0.90625,0.0937499999999998,0.0,0.03364,0.09375,0.09844,0.0,False,1.0,0.079,0.816,,False
bv_indep_none_6_s0.qasm,bv,6,0,0.728515625,0.271484375,0.0,0.10479,0.27148,0.31675,0.0,False,1.0,0.078,0.977,,False
bv_indep_none_7_s0.qasm,bv,7,0,0.7236328125,0.2763671875,0.0,0.10691,0.27637,0.32347,0.0,False,1.0,0.079,0.944,,False
bv_indep_none_8_s0.qasm,bv,8,0,0.7324218750000001,0.2675781249999999,0.0,0.10311,0.26758,0.3114,0.0,False,2.0,0.076,0.977,,False
bv_indep_none_9_s0.qasm,bv,9,0,0.6796875,0.3203125,0.0,0.12638,0.32031,0.38612,0.0,False,3.0,0.084,0.971,,False
dj_indep_none_10_s0.qasm,dj,10,0,0.6660156250000001,0.3339843749999999,0.0,0.1326,0.33398,0.40644,0.0,False,5.0,0.088,1.321,,False
dj_indep_none_11_s0.qasm,dj,11,0,0.6552734375,0.3447265625,0.0,0.13755,0.34473,0.4227,0.0,False,10.0,0.087,1.569,,False
dj_indep_none_12_s0.qasm,dj,12,0,0.66796875,0.33203125,0.0,0.13171,0.33203,0.40351,0.0,False,20.0,0.073,3.29,,False
dj_indep_none_3_s0.qasm,dj,3,0,0.9365234375,0.0634765625,0.0,0.02252,0.06348,0.06558,0.0,False,1.0,0.076,2.054,,False
dj_indep_none_4_s0.qasm,dj,4,0,0.9248046875,0.0751953125,0.0,0.0268,0.0752,0.07817,0.0,False,1.0,0.089,1.893,,False
dj_indep_none_5_s0.qasm,dj,5,0,0.8935546875,0.1064453125,0.0,0.03839,0.10645,0.11255,0.0,False,1.0,0.085,0.928,,False
dj_indep_none_6_s0.qasm,dj,6,0,0.8720703125,0.1279296875,0.0,0.04652,0.12793,0.13689,0.0,False,1.0,0.094,0.94,,False
dj_indep_none_7_s0.qasm,dj,7,0,0.7207031250000001,0.2792968749999999,0.0,0.10818,0.2793,0.32753,0.0,False,1.0,0.077,0.965,,False
dj_indep_none_8_s0.qasm,dj,8,0,0.69921875,0.30078125,0.0,0.11762,0.30078,0.35779,0.0,False,2.0,0.079,0.913,,False
dj_indep_none_9_s0.qasm,dj,9,0,0.7021484375,0.2978515625,0.0,0.11632,0.29785,0.35361,0.0,False,3.0,0.072,0.973,,False
full_adder_indep_none_10_s0.qasm,full_adder,10,0,0.619140625,0.380859375,0.01553,0.1546,0.38086,0.47942,0.0,False,5.0,0.08,2.026,,False
full_adder_indep_none_12_s0.qasm,full_adder,12,0,0.4648437499999999,0.53515625,0.01723,0.2355,0.53516,0.76605,0.0,False,20.0,0.085,5.952,,False
full_adder_indep_none_4_s0.qasm,full_adder,4,0,0.9091796875,0.0908203125,0.00895,0.03256,0.09082,0.09521,0.0,False,1.0,0.08,0.884,,False
full_adder_indep_none_6_s0.qasm,full_adder,6,0,0.71875,0.28125,0.01389,0.10903,0.28125,0.33024,0.0,False,1.0,0.232,0.858,,False
full_adder_indep_none_8_s0.qasm,full_adder,8,0,0.640625,0.359375,0.01399,0.14439,0.35938,0.44531,0.0,False,2.0,0.081,0.961,,False
ghz_indep_none_10_s0.qasm,ghz,10,0,0.6226071915761784,0.3773928084238216,0.01366,0.153,0.37695,0.47454,0.0,False,5.0,0.078,1.205,,False
ghz_indep_none_11_s0.qasm,ghz,11,0,0.6171418714801061,0.3828581285198938,0.01574,0.15557,0.38281,0.48273,0.0,False,10.0,0.077,1.58,,False
ghz_indep_none_12_s0.qasm,ghz,12,0,0.5512461914278713,0.4487538085721286,0.01294,0.18851,0.44824,0.5965,0.0,False,20.0,0.071,2.421,,False
ghz_indep_none_3_s0.qasm,ghz,3,0,0.9136405665961584,0.0863594334038415,0.00965,0.03112,0.08496,0.09185,0.0,False,1.0,0.06,0.957,,False
ghz_indep_none_4_s0.qasm,ghz,4,0,0.8826491486712871,0.1173508513287129,0.01058,0.04253,0.11719,0.12501,0.0,False,1.0,0.084,1.083,,False
ghz_indep_none_5_s0.qasm,ghz,5,0,0.8338876880979844,0.1661123119020155,0.01121,0.06135,0.16602,0.18177,0.0,False,1.0,0.081,1.975,,False
ghz_indep_none_6_s0.qasm,ghz,6,0,0.6856305812918967,0.3143694187081033,0.01376,0.12382,0.31348,0.37872,0.0,False,1.0,0.083,2.006,,False
ghz_indep_none_7_s0.qasm,ghz,7,0,0.6688808282129161,0.3311191717870839,0.01625,0.13144,0.33008,0.40371,0.0,False,1.0,0.095,1.96,,False
ghz_indep_none_8_s0.qasm,ghz,8,0,0.6318265037955864,0.3681734962044136,0.01407,0.14855,0.36816,0.45916,0.0,False,2.0,0.085,1.084,,False
ghz_indep_none_9_s0.qasm,ghz,9,0,0.6122194326927147,0.3877805673072853,0.01514,0.15795,0.3877,0.4908,0.0,False,3.0,0.078,0.952,,False
graphstate_indep_none_10_s0.qasm,graphstate,10,0,0.3392397058281534,0.6607602941718466,0.01088,0.29949,0.54004,8.14772,0.10183,False,5.0,0.078,1.299,,True
graphstate_indep_none_10_s1.qasm,graphstate,10,1,0.3383380301515523,0.6616619698484477,0.0114,0.29996,0.54004,8.20594,0.10388,False,5.0,0.089,1.603,,True
graphstate_indep_none_10_s2.qasm,graphstate,10,2,0.3524768787560171,0.6475231212439829,0.00971,0.29188,0.52832,7.95606,0.45151,False,5.0,0.092,1.544,,True
graphstate_indep_none_11_s0.qasm,graphstate,11,0,0.1515151604756033,0.8484848395243967,0.0067,0.42662,0.66016,12.53957,0.92246,False,10.0,0.067,1.913,,True
graphstate_indep_none_11_s1.qasm,graphstate,11,1,0.1376908413071821,0.8623091586928179,0.00625,0.43961,0.67871,12.69488,0.53337,False,10.0,0.068,1.732,,True
graphstate_indep_none_11_s2.qasm,graphstate,11,2,0.1543557917499084,0.8456442082500916,0.00678,0.42471,0.66113,12.28444,0.37179,False,10.0,0.071,1.792,,True
graphstate_indep_none_12_s0.qasm,graphstate,12,0,0.0477939870477121,0.952206012952288,0.00279,0.54266,0.79688,16.27967,0.92207,True,20.0,0.084,3.003,,True
graphstate_indep_none_12_s1.qasm,graphstate,12,1,0.0538468537673443,0.9461531462326556,0.00342,0.53342,0.78516,15.92258,0.17394,True,20.0,0.069,2.594,,True
graphstate_indep_none_12_s2.qasm,graphstate,12,2,0.0547571108418822,0.9452428891581176,0.00309,0.53207,0.7832,15.88215,0.18371,True,20.0,0.084,2.865,,True
graphstate_indep_none_3_s0.qasm,graphstate,3,0,0.9998329665242378,0.0001670334757621,0.00092,8e-05,0.01074,0.00033,0.45874,False,1.0,0.099,1.116,,True
graphstate_indep_none_4_s0.qasm,graphstate,4,0,0.9993072603712824,0.0006927396287177,0.00138,0.00035,0.01953,0.00139,0.36361,False,1.0,0.089,1.096,,True
graphstate_indep_none_4_s2.qasm,graphstate,4,2,0.9993072603712824,0.0006927396287177,0.00156,0.00035,0.01953,0.00139,0.36361,False,1.0,0.076,0.991,,True
graphstate_indep_none_5_s0.qasm,graphstate,5,0,0.998346575677411,0.0016534243225889,0.00236,0.00083,0.03223,0.00328,0.47252,False,1.0,0.076,0.847,,True
graphstate_indep_none_5_s1.qasm,graphstate,5,1,0.998346575677411,0.0016534243225889,0.00231,0.00083,0.03223,0.00328,0.47252,False,1.0,0.074,0.936,,True
graphstate_indep_none_5_s2.qasm,graphstate,5,2,0.998346575677411,0.0016534243225889,0.00244,0.00083,0.03223,0.00328,0.47252,False,1.0,0.077,0.992,,True
graphstate_indep_none_6_s0.qasm,graphstate,6,0,0.9921236289464792,0.0078763710535207,0.00401,0.00394,0.07129,0.01577,0.41111,False,1.0,0.071,0.867,,True
graphstate_indep_none_6_s1.qasm,graphstate,6,1,0.9918209422586112,0.0081790577413887,0.00358,0.00409,0.07031,0.01629,0.46305,False,1.0,0.075,0.91,,True
graphstate_indep_none_6_s2.qasm,graphstate,6,2,0.9917590547753774,0.0082409452246225,0.00487,0.00412,0.07129,0.01641,0.50303,False,1.0,0.083,0.946,,True
graphstate_indep_none_7_s0.qasm,graphstate,7,0,0.9786699980957442,0.0213300019042558,0.00746,0.01063,0.10938,0.04373,0.64542,False,1.0,0.09,1.045,,True
graphstate_indep_none_7_s1.qasm,graphstate,7,1,0.9779055219602372,0.0220944780397627,0.00762,0.01101,0.1123,0.04526,0.60252,False,1.0,0.086,0.897,,True
