feature,rf_mdi,catboost_pvc,is_mqt,rf_rank,cb_rank,avg_rank,compression_candidate
fiedler_at_half_depth,0.49228200992542825,29.705235013786773,False,1,1,1.0,False
time_to_connected,0.16719485106597734,15.070701322929013,False,2,2,2.0,False
parallelism,0.09912876418391764,12.008875732553589,True,3,3,3.0,False
liveness,0.09031590585665471,4.699801266411569,True,4,4,4.0,False
depth,0.01522870457882808,2.969470165408565,True,6,6,6.0,False
num_qubits,0.022878232689610267,2.046078043312626,True,5,9,7.0,False
spectral_entropy_topology,0.014135741250253363,2.4771840177567883,False,7,8,7.5,False
fiedler_2q_weighted,0.007914179885396375,4.039966644640903,False,12,5,8.5,False
program_communication,0.008936655606462559,1.7878185782217235,True,11,11,11.0,False
laplacian_energy,0.007069708869541299,1.4648780553179257,False,13,13,13.0,False
gate_entropy,0.012488927925570048,1.0433941017532122,False,8,18,13.0,False
effective_resistance,0.005374706703674529,1.7607571783588212,False,15,12,13.5,False
log_spanning_trees,0.001808193966089031,2.5505669640316486,False,21,7,14.0,False
laplacian_max_eig_topology,0.002629242719239027,1.9478876523150666,False,18,10,14.0,False
size,0.009420739707405694,0.9717401816157218,True,10,19,14.5,False
depth_per_qubit,0.00948321188731752,0.9041434250253487,False,9,23,16.0,False
num_2q_gates,0.002604282674977361,1.3370820154461849,True,19,14,16.5,False
spectral_entropy_2q_weighted,0.0023731462197922547,1.19603454395335,False,20,16,18.0,False
twoq_temporal_locality,0.0016230988135583582,1.2061345583381657,False,23,15,19.0,False
log_estrada_index,0.0016093430046075247,1.1820544073120975,False,24,17,20.5,False
entanglement_ratio,0.004110108775538393,0.8453557977626196,True,16,25,20.5,False
num_unique_gates,0.0057883982176842605,0.6567201314876097,False,14,28,21.0,False
degree_variance,0.0032387725182610664,0.567025825573416,False,17,30,23.5,False
critical_depth,0.0013234375921894574,0.9186864117914667,True,27,21,24.0,False
assortativity,0.001632980482903857,0.780005727342454,False,22,26,24.0,False
graph_density,0.0013282176944873138,0.8954668925810828,False,26,24,25.0,True
fiedler_topology,0.0011446194172389668,0.9432755858441287,False,31,20,25.5,True
max_degree,0.0012697334569138079,0.9186108249824162,False,30,22,26.0,True
gini_2q_multiplicity,0.0013138630944942854,0.6689215545838495,False,29,27,28.0,True
num_triangles,0.001319937585352076,0.6308600952945951,False,28,29,28.5,True
von_neumann_entropy,0.0015188345152113414,0.3507794098242689,False,25,33,29.0,True
spectral_gap_ratio_topology,0.00029244293086759353,0.4327185258562724,False,34,32,33.0,True
graph_diameter,0.0007201239612017791,0.12323945902361505,False,32,35,33.5,True
avg_clustering,0.00031760569178631155,0.2993742162103966,False,33,34,33.5,True
has_2q_interactions,4.606635856343003e-05,0.5663388917835637,False,36,31,33.5,True
n_components,0.00013521017300472987,0.03281678156911945,False,35,36,35.5,True
