feature_view,model,n_features,shuffled_mean_r2,shuffled_std,group_mean_r2,group_std
0. Full (36 feats),RandomForest,36,0.8892689536317798,0.0897399247168032,-0.707374796524219,0.6847843738269569
0. Full (36 feats),CatBoost,36,0.910004008216751,0.08103722623019247,-0.2108718006954664,0.6572008630260606
A. Cluster reps (22 feats),RandomForest,22,0.8874360054241779,0.0863242225887078,-0.5896353222419061,0.6394871172623249
A. Cluster reps (22 feats),CatBoost,22,0.9089120350639593,0.07049989210197558,-0.14830089799144086,0.7255776743385806
B. PCA 7 PCs (91.2% var),RandomForest,7,0.8050554385112246,0.14228851381521918,-0.6427348094863765,1.2659799685242312
B. PCA 7 PCs (91.2% var),CatBoost,7,0.8541070322231429,0.1381925577041991,-0.15850601415859158,0.6232589100405651
B. PCA 9 PCs (95.1% var),RandomForest,9,0.7988488091958459,0.1403412416294747,-0.6298661678668345,1.2266968605470865
B. PCA 9 PCs (95.1% var),CatBoost,9,0.8431774488483835,0.14489566812795382,-0.21249040082703852,0.6716643018970189
MQT only (9 feats),RandomForest,9,0.831163651917401,0.169708675225678,-0.20543182765088028,0.8151599409630176
MQT only (9 feats),CatBoost,9,0.8994037448221969,0.07570135814623243,-0.23001251140636142,0.7926934671799336
