feature,mdi_importance,source,perm_importance_mean,perm_importance_std
fiedler_at_half_depth,0.4914699117501652,ours,0.40169233858473563,0.1285995430797056
time_to_connected,0.16953249895022102,ours,0.11626266801357579,0.029212106193930054
parallelism,0.10013228789073499,MQT,0.07252241235117121,0.04055738467050256
liveness,0.09010026183190138,MQT,0.18775796039131282,0.04095735707452023
num_qubits,0.02203430518671267,MQT,0.010505859370556892,0.005612741126275948
depth,0.01369756654362515,MQT,0.016554758844241336,0.005543290490237749
spectral_entropy_topology,0.013090669652513778,ours,0.008458202208520182,0.0036944709251832924
gate_entropy,0.01168058655764798,ours,0.00933086875589278,0.0025566422577229736
program_communication,0.008611315181844954,MQT,-0.003044230858840791,0.002635497336597246
size,0.008443356285921282,MQT,0.012659369270448029,0.004390668889101243
fiedler_2q_weighted,0.007871413356159589,ours,0.007769575633420106,0.005066406508115372
depth_per_qubit,0.007250456085539401,ours,0.009422954594893746,0.002823952035791217
num_unique_gates,0.00636717364396556,ours,0.006163251268876446,0.0024440243613599194
laplacian_energy,0.006319236561336804,ours,0.010432213508147326,0.003907005279639072
effective_resistance,0.005976374205798453,ours,0.004340228898634757,0.0037202585897548974
entanglement_ratio,0.003616956048237419,MQT,0.002021776644691381,0.00197398659686313
degree_variance,0.0034233586972093138,ours,0.0019344522336180669,0.0016108298984957494
spectral_entropy_2q_weighted,0.003222855065218732,ours,0.0015221791328801527,0.001393936182047169
laplacian_max_eig_topology,0.002944019558947627,ours,0.006313426450130682,0.0025113223447398004
twoq_temporal_locality,0.0027603801100171523,ours,0.002175407286520409,0.0007247159742466639
num_2q_gates,0.0023056463447804197,MQT,0.003094353772401032,0.0010264010307333414
gini_2q_multiplicity,0.0022087778287758915,ours,-0.0008392246188680674,0.0003151016777043957
excess_degree_max,0.0018839021563024064,ours,0.0011832577798530143,0.0008015365731345677
critical_depth,0.0016889362204870638,MQT,-0.0008404957734151064,0.0017693203913609753
num_triangles,0.0016628153788683184,ours,0.0004907672578275013,0.0007281914125382579
graph_density,0.0015043526322565096,ours,0.0004506790340707445,0.0009045572975696823
assortativity,0.001445946838841617,ours,-7.616114895635518e-05,0.0007230864480015394
log_estrada_index,0.001421244165268474,ours,0.001198394638599376,0.0010722904669365771
von_neumann_entropy,0.0013546161843879022,ours,-0.0001378022465442219,0.0002566501431335574
log_spanning_trees,0.0012735061097987528,ours,0.001458941714165629,0.0020268498025010026
fiedler_topology,0.0011454682162615596,ours,-0.0005589762553545097,0.0005290690881540591
max_degree,0.0011347453911677672,ours,0.0009799952605223984,0.0006694580533656532
excess_degree_mean,0.001047277011947639,ours,0.0010747713128656355,0.0015144375847461987
graph_diameter,0.0005466826320116506,ours,0.0002627211475179414,0.00022040062215798376
spectral_gap_ratio_topology,0.00029654923612169637,ours,0.0001612375033127722,0.00018063734741732168
avg_clustering,0.00020806219453035896,ours,0.00042733663240033246,0.00023223435950968675
pct_qubits_over_device_degree,0.00013097567881582283,ours,0.0019563151231633937,0.0009773341510252353
n_components,0.0001304841644449551,ours,-4.7888589749189855e-06,2.3520316504937353e-05
has_2q_interactions,6.502845121290824e-05,ours,0.0004188554430948954,0.00012355455583306437
