model,cv,fold,r2,mse
MQT only,shuffled,0,0.5171401855840125,0.02900146397277052
MQT only,shuffled,1,0.9724842497931251,0.0031345402299146406
MQT only,shuffled,2,0.7873952147730598,0.008624195022671064
MQT only,shuffled,3,0.9456175953881858,0.002289216142140174
MQT only,shuffled,4,0.9331810140486224,0.005966447994438979
MQT only,leave-1-algo-out,0,-1.5475673306135547,0.011405293091456749
MQT only,leave-1-algo-out,1,-0.7588461496742067,0.22412289651871545
MQT only,leave-1-algo-out,2,0.4405311094331573,0.006857126881743483
MQT only,leave-1-algo-out,3,0.5110996000534321,0.006236309709934033
MQT only,leave-1-algo-out,4,0.32762363254677074,0.013491179181687294
MQT + ours,shuffled,0,0.7277558420625212,0.01635149354429197
MQT + ours,shuffled,1,0.9716529483370862,0.0032292404593304985
MQT + ours,shuffled,2,0.9304959805150945,0.002819391944812159
MQT + ours,shuffled,3,0.8650417055685722,0.005681041659217364
MQT + ours,shuffled,4,0.9503164511836716,0.00443637846296412
MQT + ours,leave-1-algo-out,0,-1.3448098449915196,0.010497561027924127
MQT + ours,leave-1-algo-out,1,-0.705541630567625,0.21733050980432475
MQT + ours,leave-1-algo-out,2,-1.0859037165497671,0.025565865571167364
MQT + ours,leave-1-algo-out,3,0.5926023715098852,0.005196677659978741
MQT + ours,leave-1-algo-out,4,-1.0527432673953738,0.0411881329787511
