view,source,stratum,n_features,n_circuits,model,cv,mean_r2,std_r2,ci_lo,ci_hi
MQT (9),pre,all,9,184,Ridge,shuffled,0.5731872282468868,0.13034703608201226,0.45000809565250693,0.676310300971602
MQT (9),pre,all,9,184,Ridge,loao,-6.319569119457947,13.129747016732132,-19.522429800901527,0.4187083798445066
MQT (9),pre,all,9,184,RandomForest,shuffled,0.9008574599157771,0.029860371183885428,0.8744247518439847,0.926948928204812
MQT (9),pre,all,9,184,RandomForest,loao,0.19684262575277894,0.2904893078486839,-0.05208513545596545,0.4490065241738975
MQT (9),pre,all,9,184,GradientBoosting,shuffled,0.9174668862051135,0.022638562140086794,0.8963482866392944,0.9364755947014505
MQT (9),pre,all,9,184,GradientBoosting,loao,0.0026386013818806343,0.5149351627828985,-0.5022050688210933,0.3378858406716704
MQT (9),pre,all,9,184,CatBoost,shuffled,0.9390368195550736,0.017856414642545677,0.922575356237326,0.9539342039308611
MQT (9),pre,all,9,184,CatBoost,loao,0.3624498165619531,0.2494970977856645,0.14207578442383278,0.5627623692407966
MQT (9),pre,above_floor,9,177,Ridge,shuffled,0.6148316629630032,0.03610372006902722,0.5831550344041155,0.6477269079960715
MQT (9),pre,above_floor,9,177,Ridge,loao,-21.44849582485066,43.99197673592649,-65.45439296864724,0.617495868274165
MQT (9),pre,above_floor,9,177,RandomForest,shuffled,0.8903195914442719,0.01436563932262053,0.8779343954759213,0.9025947593641913
MQT (9),pre,above_floor,9,177,RandomForest,loao,0.4795289464864531,0.1784045254807261,0.3442594507441238,0.6360282594483682
MQT (9),pre,above_floor,9,177,GradientBoosting,shuffled,0.869961220161013,0.0464844575501115,0.8301086103552968,0.9042803390585791
MQT (9),pre,above_floor,9,177,GradientBoosting,loao,0.4431046701082636,0.17848653521262775,0.30185828075999827,0.6067301504733343
MQT (9),pre,above_floor,9,177,CatBoost,shuffled,0.9183260177469519,0.03371896394799148,0.8912215442090329,0.9454304912848709
MQT (9),pre,above_floor,9,177,CatBoost,loao,0.5127507970741252,0.19825488891393925,0.3460572573503266,0.6834669299601253
MQT+MULT (12),pre,all,12,184,Ridge,shuffled,0.7510290115087572,0.049925054744906806,0.7018234960027107,0.7890354138015715
MQT+MULT (12),pre,all,12,184,Ridge,loao,-50.832813980334066,102.48898033675363,-153.35335274814875,0.5306057838384335
MQT+MULT (12),pre,all,12,184,RandomForest,shuffled,0.8982193371103901,0.03137652610642952,0.8705755554495568,0.92527827788784
MQT+MULT (12),pre,all,12,184,RandomForest,loao,0.1856280433485721,0.25479235855384064,-0.03468658895859298,0.40594267565573716
MQT+MULT (12),pre,all,12,184,GradientBoosting,shuffled,0.9283262629923235,0.021234862560127125,0.9092632306328404,0.945917811092723
MQT+MULT (12),pre,all,12,184,GradientBoosting,loao,0.0192315103321141,0.4740302032778902,-0.4463468129332517,0.34473248324118677
MQT+MULT (12),pre,all,12,184,CatBoost,shuffled,0.939602224645804,0.014122937042541313,0.9257706739062955,0.950767256852201
MQT+MULT (12),pre,all,12,184,CatBoost,loao,0.383765800948603,0.20244403578885534,0.20121930175213593,0.5453993343458878
