algo,n_circuits,r2_mqt,r2_mqt_plus_mult,r2_mqt_plus_ours_pre,r2_mqt_plus_ours_post,delta_mult,delta_spec_pre,delta_spec_post
bv,10,-12.995508679773545,-12.995508679773545,-15.248137153511825,-22.83119846386208,0.0,-2.2526284737382802,-9.835689784088535
dj,10,0.7451371278545721,0.7451371278545723,0.607280121163737,0.9371207724432761,2.220446049250313e-16,-0.13785700669083534,0.19198364458870376
ghz,10,-0.20271315692255065,-0.20271315692255065,-0.43452809391454733,-10.016369604454276,0.0,-0.23181493699199668,-9.813656447531725
graphstate,24,0.7402321451633984,0.7402321451633984,0.5605640263349585,0.519886338470652,0.0,-0.17966811882843992,-0.2203458066927464
grover,10,0.9354843946423439,0.9354843946423439,0.9182812473598062,0.00220816049996427,0.0,-0.01720314728253769,-0.9332762341423796
qaoa,10,0.7122502641729863,0.7122502641729863,0.7510735206821856,-7.549544894315418e+25,0.0,0.038823256509199267,-7.549544894315418e+25
qft,9,-0.005911157049564612,-0.005911157049565204,0.27675282346504176,-2.850914945119326,-5.915407053080912e-16,0.28266398051460695,-2.8450037880697607
qftentangled,10,0.9156453182350083,0.7762896905672955,0.8414550077504988,-0.07340048500943579,-0.1393556276677128,0.06516531718320329,-0.8496901755767312
qnn,10,0.9400496248917217,0.9400496248917217,0.8723411810505083,0.4969267344908714,0.0,-0.06770844384121344,-0.44312289040085034
qpeexact,10,0.016521603503166265,0.016521603503167153,-0.5572647376110224,0.8988416284423661,8.881784197001252e-16,-0.5737863411141895,0.882320024939199
qpeinexact,10,0.93428975611419,0.93428975611419,0.9014342495957616,0.8366734054828692,0.0,-0.03285550651842839,-0.09761635063132079
qwalk,9,-0.10571626395139881,0.26114954585946965,0.7144138576391886,0.8199201966959396,0.36686580981086847,0.453264311779719,0.55877065083647
randomcircuit,10,0.8165823610318684,0.6793289277124073,-1.3611687411326846e+26,-1.1819290628163402e+27,-0.13725343331946116,-1.3611687411326846e+26,-1.1819290628163402e+27
vqe_real_amp,10,0.8424667227423965,0.8424667227423965,0.7517509174251148,-0.2296643874019728,0.0,-0.09071580531728174,-1.0721311101443693
vqe_su2,10,0.8423985579953044,0.8423985579953044,0.7689445020914375,-2.2541401233375926,0.0,-0.07345405590386689,-3.096538681332897
wstate,10,0.7993964370099859,0.7993964370099859,0.7769813891266227,-1.2172092696959089e+30,0.0,-0.022415047883363126,-1.2172092696959089e+30
