algo,n_circuits,r2_mqt,r2_mqt_plus_mult,r2_mqt_plus_ours_pre,r2_mqt_plus_ours_post,delta_mult,delta_spec_pre,delta_spec_post
bv,10,-0.5359125783527696,-0.5170957301761359,-0.5169674949001578,-0.5914098570513615,0.01881684817663376,0.0001282352759780503,-0.07431412687522565
dj,10,0.797128520351861,0.7997028122384792,0.7876269527212663,0.7486264962558944,0.002574291886618174,-0.012075859517212906,-0.051076315982584775
ghz,10,-0.42134683368920595,-0.4215662389988341,-0.4204936809604052,-0.44615424556189015,-0.0002194053096281623,0.001072558038428928,-0.024588006563056042
graphstate,24,0.8279287932145244,0.8290207526653743,0.8400990231786384,0.5446284460946206,0.0010919594508499442,0.011078270513264044,-0.28439230657075376
grover,10,0.6219309292024225,0.6230671719930597,0.6221102024516876,0.6623155984072747,0.0011362427906371764,-0.0009569695413721435,0.039248426414215
qaoa,10,0.6856961818292503,0.6755331429620922,0.6559187674006949,0.7036222407714345,-0.01016303886715808,-0.019614375561397335,0.028089097809342323
qft,9,-0.41833659922486954,-0.41844408923508575,-0.41725356206128383,-0.4261861405358251,-0.00010749001021620463,0.001190527173801914,-0.00774205130073935
qftentangled,10,0.7200522668489806,0.6893781487982201,0.7205155662095444,0.6682026312633345,-0.03067411805076048,0.031137417411324253,-0.02117551753488567
qnn,10,0.7388212745792977,0.7385945506648924,0.7386101833390759,0.7273904263846825,-0.00022672391440525796,1.563267418347447e-05,-0.011204124280209893
qpeexact,10,0.6881202437526245,0.7018240492717992,0.6827539615535757,0.7583711047030995,0.013703805519174717,-0.019070087718223494,0.05654705543130034
qpeinexact,10,0.7254639809775423,0.7270240728343276,0.7229459676417046,0.6478100753452887,0.001560091856785295,-0.004078105192622972,-0.0792139974890389
qwalk,9,0.15977215908192097,0.2159827984529847,0.1271281076189136,0.18805737517820095,0.05621063937106374,-0.0888546908340711,-0.027925423274783756
randomcircuit,10,0.03380037713626546,0.007700317683240569,0.07896115412205458,-0.9341477863303348,-0.026100059453024887,0.07126083643881401,-0.9418481040135753
vqe_real_amp,10,0.6769391555080272,0.6737726140677132,0.6563327462743156,0.6390520326189332,-0.00316654144031403,-0.017439867793397568,-0.034720581448779986
vqe_su2,10,0.7255245573492686,0.7208928091716656,0.7079594571801535,0.6940853707982505,-0.0046317481776029235,-0.012933351991512132,-0.02680743837341515
wstate,10,0.2649967439595867,0.22559400482477085,0.34465043395563894,0.42326281601786286,-0.03940273913481587,0.11905642913086809,0.19766881119309201
