feature_a,feature_b,abs_r
size,num_2q_gates,0.9992254181493005
depth,size,0.9992032693365139
depth,num_2q_gates,0.9990542369755182
depth,depth_per_qubit,0.9924121158968715
num_2q_gates,depth_per_qubit,0.990469310975255
size,depth_per_qubit,0.9900638943013895
fiedler_2q_weighted,depth_per_qubit,0.9880942170129462
laplacian_max_eig_topology,max_degree,0.9843206424630869
laplacian_energy,log_estrada_index,0.9829083942198114
laplacian_max_eig_topology,laplacian_energy,0.982870963779358
log_spanning_trees,log_estrada_index,0.9824027440912368
laplacian_max_eig_topology,log_estrada_index,0.9816847824153013
log_estrada_index,max_degree,0.9783004673659286
spectral_gap_ratio_topology,graph_density,0.9744948536470959
log_spanning_trees,max_degree,0.9742801016202834
effective_resistance,graph_diameter,0.973578646584928
laplacian_max_eig_topology,log_spanning_trees,0.9716966897925868
num_2q_gates,fiedler_2q_weighted,0.9714165236617948
depth,fiedler_2q_weighted,0.970465233640573
log_spanning_trees,laplacian_energy,0.9681779989680726
size,fiedler_2q_weighted,0.9671685081690942
laplacian_energy,max_degree,0.965291020143216
laplacian_energy,num_triangles,0.9640269452528788
log_estrada_index,num_triangles,0.9572884832058435
log_spanning_trees,num_triangles,0.9489644165460395
twoq_temporal_locality,depth_per_qubit,0.9433591850647897
max_degree,num_triangles,0.9379389150192474
depth,twoq_temporal_locality,0.9295365847809801
num_2q_gates,twoq_temporal_locality,0.92928780397106
laplacian_max_eig_topology,num_triangles,0.9289194095472078
size,twoq_temporal_locality,0.9277926189474148
fiedler_2q_weighted,twoq_temporal_locality,0.9277375576740192
spectral_gap_ratio_topology,avg_clustering,0.9212429055844383
fiedler_topology,log_spanning_trees,0.917451518746049
gate_entropy,num_unique_gates,0.9160626368757111
graph_density,avg_clustering,0.9131143522865259
fiedler_topology,max_degree,0.9119799751718413
fiedler_topology,log_estrada_index,0.9060693865084121
