feature,linear_r2,rf_shuffled_r2,rf_groupkfold_r2,note
assortativity,0.36606662022628556,0.6445905012829111,0.12510591450361447,partial overlap
gate_entropy,0.2536093447911171,0.6575501128109595,-12.989911041295723,partial overlap
n_components,0.18377317782919855,0.6984520882746008,-12.76572949867749,partial overlap
num_unique_gates,0.21702055695382938,0.7751465674352527,-255.70428552342543,partial overlap
degree_variance,0.34277305191646434,0.779791773022031,-0.7710870608387521,partial overlap
gini_2q_multiplicity,0.6613267233971538,0.8334249068163511,-0.08074201112289692,partial overlap
avg_clustering,0.7470978027090948,0.8570166839293307,0.40051840649596804,redundant
pct_qubits_over_device_degree,0.6772217643285126,0.8741379548994057,0.2753882969404654,redundant
time_to_connected,0.6159743089687817,0.8797047319929824,-0.003850425889520248,redundant
depth_per_qubit,0.9825287952785291,0.8908654649112597,0.07824011506849171,redundant
spectral_gap_ratio_topology,0.8051836000397183,0.8982626214899172,0.5522643925050575,redundant
fiedler_2q_weighted,0.9455301778799879,0.9069124979682325,0.6078634083621278,redundant
graph_diameter,0.6212303811640526,0.9075685081769868,0.5915196675001809,redundant
spectral_entropy_topology,0.8714889522751313,0.9184396875656512,0.7652263795185205,redundant
num_triangles,0.7042907503392932,0.9197195444411855,0.7240984588864721,redundant
twoq_temporal_locality,0.9364657700975584,0.9198123794550599,0.21156499257951208,redundant
effective_resistance,0.5906414975186063,0.9244860972612707,-0.02327714895607973,redundant
graph_density,0.8312184946769476,0.9256376883801005,0.5968050472123962,redundant
excess_degree_max,0.775080088212925,0.9325445043410339,0.6790889040841905,redundant
max_degree,0.7769553003993441,0.9327149634254625,0.6219422672172231,redundant
laplacian_max_eig_topology,0.7915592811929626,0.9331992224077934,0.6868620340999756,redundant
log_spanning_trees,0.8157632555032506,0.9343690927667773,0.7074466064798175,redundant
laplacian_energy,0.810989625292524,0.9362977150346825,0.7397293250571592,redundant
von_neumann_entropy,0.7208373982823842,0.9434506934337337,0.521115663048326,redundant
excess_degree_mean,0.7731035247393037,0.9434649813408035,0.6680076934762529,redundant
log_estrada_index,0.8229288686131856,0.9437874439813865,0.7052099751053109,redundant
fiedler_at_half_depth,0.7983200749678965,0.9457262414231783,0.42272170002936116,redundant
fiedler_topology,0.7995866169240549,0.9522226358314047,0.6278568187721518,redundant
spectral_entropy_2q_weighted,0.8397912457687582,0.9837206882607102,0.8552482983887695,redundant
has_2q_interactions,0.8244529539377106,0.9983284966266932,0.7859343787878788,redundant
