algo,mqt_only_mse,mqt_plus_ours_mse,delta_mse,pct_improvement
qwalk,0.2881284295814376,0.2520671217725054,0.036061307808932186,12.515706229100068
bv,0.006341320131362702,0.0034511770537428606,0.0028901430776198415,45.57636292994991
qpeinexact,0.013647145241986966,0.010975543765293097,0.0026716014766938693,19.576266166453546
graphstate,0.012150248556490592,0.009935977969628506,0.002214270586862086,18.224076458742363
qpeexact,0.013002131547965038,0.011652953600875978,0.00134917794708906,10.376590500656945
wstate,0.004106853845969432,0.0037503674293036674,0.00035648641666576487,8.680280088750406
qnn,0.004538718965159414,0.004498691227203958,4.002773795545606e-05,0.8819170841535054
vqe_su2,0.0010630681952489768,0.0011838887580921734,-0.00012082056284319653,-11.365269263360817
qftentangled,0.001151000176053206,0.002009954449691323,-0.0008589542736381168,-74.62677169898286
qaoa,0.002138371863457993,0.003361759939856196,-0.001223388076398203,-57.2111940539586
vqe_real_amp,0.0004708093286559998,0.0024382538387495304,-0.0019674445100935304,-417.8856259517869
qft,0.00948969332422687,0.011941631749255725,-0.002451938425028855,-25.837910048885753
ghz,0.011252094282591147,0.014319660188591075,-0.0030675659059999274,-27.26217741301688
grover,0.30428111838131655,0.30793971469146875,-0.0036585963101521957,-1.2023737554320888
full_adder,0.008335317555057795,0.02444300567706434,-0.016107688122006546,-193.2462442565556
dj,0.008523508262964328,0.08552759664038138,-0.07700408837741705,-903.4318499110175
randomcircuit,0.0400740113357891,0.12494086828694194,-0.08486685695115284,-211.77529806046738
