feature_view,model,n_features,cv,mean_r2,std_r2,ci_lo,ci_hi
MQT only (9),Ridge,9,shuffled,0.5970563540252656,0.16793589384585483,0.4063262588418356,0.7378475549108047
MQT only (9),Ridge,9,leave-1-algo-out,-125.58882661055209,248.47935279188923,-345.7605528584566,-0.026788583816848722
MQT only (9),RandomForest,9,shuffled,0.8311061222990344,0.16755363789592448,0.6222056229458882,0.948016926520265
MQT only (9),RandomForest,9,leave-1-algo-out,-0.19401952492714472,0.8009929421483356,-1.0305120860807213,0.4487520875350209
MQT only (9),GradientBoosting,9,shuffled,0.8879238686646108,0.07441920685039399,0.821003346427617,0.9562697668772296
MQT only (9),GradientBoosting,9,leave-1-algo-out,-0.2334767882765819,0.6499870865734402,-0.7432179847318531,0.29943983688274206
MQT only (9),CatBoost,9,shuffled,0.8966189971525281,0.074995977004532,0.8263477425244393,0.9541199884702318
MQT only (9),CatBoost,9,leave-1-algo-out,-0.08885884587913977,0.691526659297694,-0.6616770787889527,0.49421931283393056
Option A (22),Ridge,22,shuffled,0.8190711669145158,0.10007791859423718,0.6913485905918376,0.889954201848534
Option A (22),Ridge,22,leave-1-algo-out,-110.06765644339325,212.82611978634486,-298.2386987525087,-1.9274457555411852
Option A (22),RandomForest,22,shuffled,0.8844372395943143,0.08842614998144105,0.7809260594655127,0.9548972010713674
Option A (22),RandomForest,22,leave-1-algo-out,-0.6021896046915123,0.6459818493196681,-1.0987689957989017,0.03751570113568287
Option A (22),GradientBoosting,22,shuffled,0.8967079981093249,0.10006133311788282,0.764428024947382,0.9638449223178803
Option A (22),GradientBoosting,22,leave-1-algo-out,-0.25474347998707286,0.5320549290028626,-0.7320522143677559,0.17575115440793562
Option A (22),CatBoost,22,shuffled,0.92419175202442,0.05411965423331631,0.8495796373319029,0.9624329917431584
Option A (22),CatBoost,22,leave-1-algo-out,-0.18925149128198865,0.6281974824533253,-0.6274341843246313,0.3499521373885424
Full (36),Ridge,36,shuffled,0.8488475582945316,0.07452116625615718,0.7517769310356985,0.9054101702672129
Full (36),Ridge,36,leave-1-algo-out,-22.359430546637242,39.27080795204443,-57.18596773324884,-1.9589529845505893
Full (36),RandomForest,36,shuffled,0.8890069261914935,0.09102373775622868,0.7708759296673349,0.9542933681894905
Full (36),RandomForest,36,leave-1-algo-out,-0.6974509343025195,0.6779230250810424,-1.2135252939474188,-0.005510313996807107
Full (36),GradientBoosting,36,shuffled,0.8924247994369127,0.10114050404137948,0.7603810281136191,0.963287413553389
Full (36),GradientBoosting,36,leave-1-algo-out,-0.47482475475038327,0.5591544915945745,-1.0427976880272478,0.04529953571879895
Full (36),CatBoost,36,shuffled,0.9294033127132486,0.05074329013560795,0.8590183001131055,0.9618700324252063
Full (36),CatBoost,36,leave-1-algo-out,-0.09743351638474015,0.5845353131773138,-0.47202731466451386,0.400027267519994
