algo,fiedler_topology,spectral_entropy_topology,laplacian_max_eig_topology,spectral_gap_ratio_topology,fiedler_2q_weighted,spectral_entropy_2q_weighted,gini_2q_multiplicity,log_estrada_index,graph_density,graph_diameter,avg_clustering,n_components,max_degree,degree_variance,assortativity,num_triangles,twoq_temporal_locality,gate_entropy,num_unique_gates,depth_per_qubit,has_2q_interactions
bv,0.0,0.746,4.0,0.0,0.0,0.746,0.0,2.435,0.145,1.8,0.0,4.5,3.0,1.0,-0.8,0.0,0.0,0.917,3.0,0.865,1.0
dj,7.5,1.75,7.5,1.0,0.0,0.0,0.0,6.539,1.0,1.0,1.0,1.0,6.5,0.0,0.0,71.5,0.0,0.531,3.0,0.641,0.0
full_adder,1.101,1.683,5.212,0.256,0.0,0.0,0.0,3.384,0.471,3.8,0.702,1.0,3.8,0.797,-0.268,3.6,0.0,1.012,3.0,1.0,1.0
ghz,0.295,1.518,3.705,0.087,0.295,1.518,0.0,2.719,0.321,6.5,0.0,1.0,2.0,0.195,-0.293,0.0,0.0,0.42,2.0,1.16,1.0
graphstate,0.674,1.679,3.857,0.183,0.674,1.679,0.0,2.923,0.35,3.074,0.115,1.37,2.0,0.0,0.0,0.259,0.0,0.693,2.0,0.798,1.0
grover,8.591,1.951,8.591,1.0,0.0,0.0,0.0,7.61,1.0,1.0,1.0,1.0,7.591,0.0,0.0,94.318,0.0,0.829,3.0,1.734,0.0
qaoa,1.54,1.611,6.315,0.226,3.081,1.611,0.0,3.907,0.529,2.5,0.402,1.1,4.7,0.826,-0.364,9.5,7.199,0.993,3.1,2.253,1.0
qft,7.5,1.75,7.5,1.0,7.5,1.75,0.0,6.539,1.0,1.0,1.0,1.0,6.5,0.0,0.0,71.5,0.0,0.555,2.0,2.0,1.0
qftentangled,7.5,1.75,7.5,1.0,7.795,1.739,0.147,6.539,1.0,1.0,1.0,1.0,6.5,0.0,0.0,71.5,4.75,0.924,3.0,2.321,1.0
qnn,0.295,1.518,3.705,0.087,0.295,1.518,0.0,2.719,0.321,6.5,0.0,1.0,2.0,0.195,-0.293,0.0,0.0,1.094,3.0,1.321,1.0
qpeexact,5.8,1.721,7.5,0.713,5.8,1.721,0.0,6.289,0.908,1.7,0.836,1.0,6.5,0.223,-0.317,66.6,0.0,0.777,3.0,2.343,1.0
qpeinexact,7.5,1.75,7.5,1.0,7.5,1.75,0.0,6.539,1.0,1.0,1.0,1.0,6.5,0.0,0.0,71.5,0.0,0.768,3.0,2.679,1.0
qwalk,6.059,1.747,7.5,0.848,147.993,1.535,0.297,6.296,0.969,1.6,0.968,1.0,6.5,0.187,-0.141,61.1,37.101,1.633,9.2,264.286,1.0
randomcircuit,7.3,1.75,7.5,0.975,0.593,1.48,0.035,6.516,0.996,1.1,0.996,1.0,6.5,0.019,-0.029,70.9,1.733,2.588,19.6,2.16,1.0
vqe_real_amp,0.295,1.518,3.705,0.087,0.886,1.518,0.0,2.719,0.321,6.5,0.0,1.0,2.0,0.195,-0.293,0.0,3.0,0.666,2.0,2.283,1.0
vqe_su2,0.295,1.518,3.705,0.087,0.886,1.518,0.0,2.719,0.321,6.5,0.0,1.0,2.0,0.195,-0.293,0.0,3.0,0.666,2.0,2.283,1.0
wstate,0.295,1.518,3.705,0.087,0.591,1.518,0.0,2.719,0.321,6.5,0.0,1.0,2.0,0.195,-0.293,0.0,2.798,1.174,4.0,2.16,1.0
