algo,rows,n_min,n_max,fiedler_min,fiedler_max,fiedler_std,prog_comm_std,spread_ratio
qpeexact,10,3,12,1.0,11.0,3.425,0.131,26.15
randomcircuit,10,3,12,3.0,12.0,3.057,0.209,14.63
qft,10,3,12,3.0,12.0,3.028,0.0,
dj,10,3,12,3.0,12.0,3.028,0.0,
qftentangled,10,3,12,3.0,12.0,3.028,0.0,
qpeinexact,10,3,12,3.0,12.0,3.028,0.0,
grover,22,3,12,3.0,12.0,2.576,0.0,
qwalk,10,3,12,3.0,9.0,1.87,0.223,8.39
full_adder,5,4,12,0.195,4.0,1.629,0.062,26.27
qaoa,10,3,12,0.0,3.009,0.967,0.09,10.74
graphstate,27,3,12,0.0,3.0,0.775,0.19,4.08
qnn,10,3,12,0.068,1.0,0.296,0.16,1.85
ghz,10,3,12,0.068,1.0,0.296,0.16,1.85
vqe_su2,10,3,12,0.068,1.0,0.296,0.16,1.85
vqe_real_amp,10,3,12,0.068,1.0,0.296,0.16,1.85
wstate,10,3,12,0.068,1.0,0.296,0.16,1.85
bv,10,3,12,0.0,0.0,0.0,0.076,0.0
