subset,model,cv,r2_all,r2_no_rigid,delta
Full,RF,shuffled,0.8892689536317798,0.8619637421393012,-0.027305211492478665
Full,CatBoost,shuffled,0.910004008216751,0.9085286915601749,-0.0014753166565760756
Full,RF,leave-1-algo-out,-0.7073747965242188,-0.31307909777175735,0.3942956987524614
Full,CatBoost,leave-1-algo-out,-0.2108718006954664,-0.31476328074094667,-0.10389148004548027
Continuous,RF,shuffled,0.8842816960006352,0.8910244502269368,0.0067427542263015505
Continuous,CatBoost,shuffled,0.9194982797643085,0.9308447897228564,0.011346509958547912
Continuous,RF,leave-1-algo-out,-0.7823307943463413,-0.1488450593433463,0.633485735002995
Continuous,CatBoost,leave-1-algo-out,-0.6860264954485487,-0.2548723553989111,0.43115414004963754
Rigid,RF,shuffled,0.7866321633985272,0.7865991752109227,-3.298818760444355e-05
Rigid,CatBoost,shuffled,0.8238852919120936,0.8531873650132115,0.029302073101117876
Rigid,RF,leave-1-algo-out,0.3604888448453155,0.4174688759079149,0.05698003106259941
Rigid,CatBoost,leave-1-algo-out,0.08811727528309835,0.2796041465490672,0.19148687126596883
